Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.1220		0.8048		0.0000		0.4066		0.00050090
1		1.1095		0.9173		0.0000		0.3519		0.00050090
2		0.7615		0.7292		0.0000		0.4272		0.00050000
3		0.6644		0.6438		0.0000		0.4471		0.00049910
4		0.6044		0.5811		0.0000		0.4791		0.00049820
5		0.5816		0.6287		0.0000		0.4567		0.00049730
6		0.5377		0.5425		0.0000		0.5140		0.00049640
7		0.5201		0.5727		0.0000		0.4831		0.00049550
8		0.5125		0.5599		0.0000		0.5030		0.00049460
9		0.4810		0.5260		0.0000		0.5113		0.00049370
10		0.4719		0.4900		0.0000		0.5260		0.00049279
11		0.4575		0.5004		0.0000		0.5143		0.00049189
12		0.4500		0.4531		0.0000		0.5355		0.00049099
13		0.4391		0.4775		0.0000		0.5181		0.00049009
14		0.4244		0.4435		0.0000		0.5411		0.00048919
15		0.4066		0.4536		0.0000		0.5464		0.00048828
16		0.4075		0.4346		0.0000		0.5395		0.00048738
17		0.3983		0.4536		0.0000		0.5411		0.00048648
18		0.3936		0.4598		0.0000		0.5526		0.00048558
19		0.3886		0.4461		0.0000		0.5574		0.00048467
20		0.3846		0.4229		0.0000		0.5550		0.00048377
21		0.3774		0.4539		0.0000		0.5546		0.00048287
22		0.3714		0.4510		0.0000		0.5605		0.00048196
23		0.3636		0.4027		0.0000		0.5678		0.00048106
24		0.3684		0.4837		0.0000		0.5239		0.00048016
25		0.3629		0.4139		0.0000		0.5738		0.00047925
26		0.3621		0.4103		0.0000		0.5790		0.00047835
27		0.3510		0.4719		0.0000		0.5575		0.00047744
28		0.3536		0.4055		0.0000		0.5716		0.00047654
29		0.3585		0.4061		0.0000		0.5712		0.00047563
30		0.3486		0.4147		0.0000		0.5698		0.00047473
31		0.3431		0.4353		0.0000		0.5653		0.00047382
32		0.3338		0.3948		0.0000		0.5809		0.00047292
33		0.3375		0.4037		0.0000		0.5775		0.00047201
34		0.3389		0.3816		0.0000		0.5804		0.00047111
35		0.3350		0.4438		0.0000		0.5693		0.00047020
36		0.3300		0.4011		0.0000		0.5835		0.00046929
37		0.3375		0.4109		0.0000		0.5739		0.00046839
38		0.3215		0.4019		0.0000		0.5683		0.00046748
39		0.3150		0.3865		0.0000		0.5827		0.00046657
40		0.3212		0.3770		0.0000		0.5837		0.00046567
41		0.3154		0.3897		0.0000		0.5872		0.00046476
42		0.3170		0.3714		0.0000		0.5921		0.00046385
43		0.3059		0.3965		0.0000		0.5831		0.00046294
44		0.3159		0.4034		0.0000		0.5828		0.00046204
45		0.3088		0.3941		0.0000		0.5855		0.00046113
46		0.3064		0.3881		0.0000		0.5947		0.00046022
47		0.3021		0.3862		0.0000		0.5877		0.00045931
48		0.3030		0.3797		0.0000		0.5969		0.00045840
49		0.3032		0.3719		0.0000		0.5821		0.00045749
50		0.3016		0.3777		0.0000		0.5930		0.00045658
51		0.3040		0.3756		0.0000		0.5870		0.00045568
52		0.2918		0.3675		0.0000		0.5874		0.00045477
53		0.2985		0.3732		0.0000		0.5905		0.00045386
54		0.2958		0.3911		0.0000		0.5866		0.00045295
55		0.2985		0.3762		0.0000		0.5946		0.00045204
56		0.2909		0.3868		0.0000		0.5927		0.00045113
57		0.2832		0.3746		0.0000		0.6008		0.00045022
58		0.2937		0.3648		0.0000		0.5921		0.00044931
59		0.2962		0.3826		0.0000		0.5953		0.00044839
60		0.2867		0.3986		0.0000		0.5870		0.00044748
61		0.2812		0.3814		0.0000		0.5970		0.00044657
62		0.2769		0.3873		0.0000		0.6016		0.00044566
63		0.2792		0.4057		0.0000		0.5940		0.00044475
64		0.2873		0.3859		0.0000		0.6023		0.00044384
65		0.2767		0.3889		0.0000		0.5988		0.00044293
66		0.2749		0.4478		0.0000		0.5787		0.00044201
67		0.2729		0.3510		0.0000		0.6011		0.00044110
68		0.2690		0.4118		0.0000		0.5893		0.00044019
69		0.2678		0.3550		0.0000		0.6017		0.00043927
70		0.2736		0.3694		0.0000		0.5940		0.00043836
71		0.2669		0.3723		0.0000		0.6032		0.00043745
72		0.2661		0.3853		0.0000		0.5894		0.00043653
73		0.2674		0.3622		0.0000		0.5996		0.00043562
74		0.2707		0.3712		0.0000		0.6012		0.00043471
75		0.2686		0.3789		0.0000		0.5991		0.00043379
76		0.2705		0.3695		0.0000		0.6050		0.00043288
77		0.2647		0.3750		0.0000		0.6005		0.00043196
78		0.2653		0.3624		0.0000		0.6026		0.00043105
79		0.2621		0.3648		0.0000		0.6000		0.00043013
80		0.2591		0.3603		0.0000		0.6076		0.00042922
81		0.2542		0.3681		0.0000		0.6048		0.00042830
82		0.2541		0.3555		0.0000		0.6027		0.00042739
83		0.2540		0.3559		0.0000		0.6112		0.00042647
84		0.2752		0.3885		0.0000		0.5957		0.00042555
85		0.2561		0.3809		0.0000		0.6077		0.00042464
86		0.2554		0.3722		0.0000		0.6019		0.00042372
87		0.2498		0.3939		0.0000		0.6017		0.00042281
88		0.2538		0.3742		0.0000		0.6088		0.00042189
89		0.2587		0.3834		0.0000		0.6073		0.00042097
90		0.2524		0.3993		0.0000		0.5984		0.00042005
91		0.2489		0.3869		0.0000		0.6129		0.00041914
92		0.2479		0.3270		0.0000		0.6137		0.00041822
93		0.2489		0.3988		0.0000		0.5875		0.00041730
94		0.2476		0.3668		0.0000		0.6159		0.00041638
95		0.2455		0.3575		0.0000		0.6123		0.00041546
96		0.2444		0.3780		0.0000		0.6103		0.00041454
97		0.2474		0.3704		0.0000		0.6099		0.00041362
98		0.2453		0.3714		0.0000		0.6027		0.00041271
99		0.2413		0.3890		0.0000		0.6007		0.00041179
100		0.2418		0.3750		0.0000		0.6159		0.00041087
101		0.2418		0.3821		0.0000		0.6001		0.00040995
102		0.2411		0.3694		0.0000		0.6026		0.00040903
103		0.2448		0.3589		0.0000		0.6103		0.00040811
104		0.2365		0.4027		0.0000		0.6108		0.00040718
105		0.2469		0.3915		0.0000		0.6079		0.00040626
106		0.2372		0.3739		0.0000		0.6253		0.00040534
107		0.2314		0.3596		0.0000		0.6215		0.00040442
108		0.2357		0.3936		0.0000		0.6157		0.00040350
109		0.2438		0.3728		0.0000		0.6077		0.00040258
110		0.2295		0.3590		0.0000		0.6248		0.00040166
111		0.2389		0.3461		0.0000		0.6375		0.00040073
112		0.2272		0.3608		0.0000		0.6220		0.00039981
113		0.2330		0.3806		0.0000		0.6227		0.00039889
114		0.2381		0.3538		0.0000		0.6175		0.00039797
115		0.2311		0.4000		0.0000		0.6054		0.00039704
116		0.2368		0.3859		0.0000		0.6423		0.00039612
117		0.2292		0.3814		0.0000		0.6252		0.00039520
118		0.2199		0.3568		0.0000		0.6362		0.00039427
119		0.2438		0.3487		0.0000		0.6412		0.00039335
120		0.2348		0.3901		0.0000		0.6243		0.00039242
121		0.2352		0.3831		0.0000		0.6292		0.00039150
122		0.2264		0.3719		0.0000		0.6251		0.00039057
123		0.2327		0.3772		0.0000		0.6291		0.00038965
124		0.2243		0.3603		0.0000		0.6412		0.00038872
125		0.2391		0.3587		0.0000		0.6509		0.00038780
126		0.2310		0.3546		0.0000		0.6438		0.00038687
127		0.2163		0.3564		0.0000		0.6576		0.00038594
128		0.2185		0.3884		0.0000		0.6486		0.00038502
129		0.2157		0.3712		0.0000		0.6593		0.00038409
130		0.2266		0.3752		0.0000		0.6304		0.00038316
131		0.2273		0.3718		0.0000		0.6459		0.00038224
132		0.2294		0.3641		0.0000		0.6371		0.00038131
133		0.2286		0.4069		0.0000		0.6131		0.00038038
134		0.2219		0.3543		0.0000		0.6580		0.00037945
135		0.2218		0.3687		0.0000		0.6458		0.00037853
136		0.2135		0.3664		0.0000		0.6516		0.00037760
137		0.2219		0.3529		0.0000		0.6456		0.00037667
138		0.2241		0.3647		0.0000		0.6475		0.00037574
139		0.2238		0.3677		0.0000		0.6554		0.00037481
140		0.2141		0.3821		0.0000		0.6511		0.00037388
141		0.2134		0.4027		0.0000		0.6455		0.00037295
142		0.2134		0.3849		0.0000		0.6586		0.00037202
143		0.2113		0.3805		0.0000		0.6519		0.00037109
144		0.2139		0.3749		0.0000		0.6495		0.00037016
145		0.2128		0.3689		0.0000		0.6623		0.00036923
146		0.2175		0.3691		0.0000		0.6450		0.00036830
147		0.2149		0.3844		0.0000		0.6593		0.00036737
148		0.2131		0.4022		0.0000		0.6495		0.00036644
149		0.2194		0.4002		0.0000		0.6675		0.00036551
150		0.2171		0.3689		0.0000		0.6683		0.00036457
151		0.2111		0.3827		0.0000		0.6613		0.00036364
152		0.2080		0.3846		0.0000		0.6375		0.00036271
153		0.2215		0.3637		0.0000		0.6565		0.00036178
154		0.2135		0.3946		0.0000		0.6603		0.00036084
155		0.2176		0.3825		0.0000		0.6592		0.00035991
156		0.2127		0.3686		0.0000		0.6588		0.00035898
157		0.2130		0.3585		0.0000		0.6705		0.00035804
158		0.2028		0.3762		0.0000		0.6618		0.00035711
159		0.2022		0.3700		0.0000		0.6547		0.00035617
160		0.2011		0.3761		0.0000		0.6630		0.00035524
161		0.2183		0.3764		0.0000		0.6599		0.00035430
162		0.2164		0.3546		0.0000		0.6626		0.00035337
163		0.2120		0.3366		0.0000		0.6543		0.00035243
164		0.2108		0.3534		0.0000		0.6588		0.00035150
165		0.2136		0.3605		0.0000		0.6462		0.00035056
166		0.2120		0.3966		0.0000		0.6638		0.00034962
167		0.2140		0.3929		0.0000		0.6360		0.00034869
168		0.2050		0.3849		0.0000		0.6651		0.00034775
169		0.2040		0.3827		0.0000		0.6619		0.00034681
170		0.1989		0.3585		0.0000		0.6695		0.00034588
171		0.2023		0.3595		0.0000		0.6622		0.00034494
172		0.1986		0.3607		0.0000		0.6509		0.00034400
173		0.2040		0.3410		0.0000		0.6661		0.00034306
174		0.2073		0.3655		0.0000		0.6642		0.00034212
175		0.2007		0.3599		0.0000		0.6715		0.00034119
176		0.2037		0.3786		0.0000		0.6708		0.00034025
177		0.1978		0.3789		0.0000		0.6472		0.00033931
178		0.1979		0.3789		0.0000		0.6731		0.00033837
179		0.2100		0.3684		0.0000		0.6507		0.00033743
180		0.2143		0.3680		0.0000		0.6551		0.00033649
181		0.1987		0.3371		0.0000		0.6633		0.00033555
182		0.1962		0.3884		0.0000		0.6594		0.00033460
183		0.1971		0.3873		0.0000		0.6732		0.00033366
184		0.2031		0.3603		0.0000		0.6658		0.00033272
185		0.2082		0.3979		0.0000		0.6441		0.00033178
186		0.2025		0.3737		0.0000		0.6563		0.00033084
187		0.1955		0.3603		0.0000		0.6695		0.00032990
188		0.1985		0.3545		0.0000		0.6618		0.00032895
189		0.2034		0.3988		0.0000		0.6633		0.00032801
190		0.1952		0.3550		0.0000		0.6654		0.00032707
191		0.1974		0.3469		0.0000		0.6786		0.00032612
192		0.1903		0.3905		0.0000		0.6753		0.00032518
193		0.2019		0.3807		0.0000		0.6580		0.00032423
194		0.2007		0.3862		0.0000		0.6485		0.00032329
195		0.2112		0.4631		0.0000		0.6118		0.00032235
196		0.2081		0.3666		0.0000		0.6599		0.00032140
197		0.1959		0.3678		0.0000		0.6740		0.00032045
198		0.2003		0.3730		0.0000		0.6714		0.00031951
199		0.1887		0.3595		0.0000		0.6629		0.00031856
200		0.1898		0.3391		0.0000		0.6699		0.00031762
201		0.1985		0.3855		0.0000		0.6582		0.00031667
202		0.1912		0.3884		0.0000		0.6776		0.00031572
203		0.1994		0.3471		0.0000		0.6689		0.00031478
204		0.1905		0.3889		0.0000		0.6598		0.00031383
205		0.1943		0.4305		0.0000		0.6348		0.00031288
206		0.1966		0.3598		0.0000		0.6826		0.00031193
207		0.1955		0.3682		0.0000		0.6634		0.00031098
208		0.1907		0.3501		0.0000		0.6846		0.00031003
209		0.1904		0.3341		0.0000		0.6758		0.00030908
210		0.1907		0.3732		0.0000		0.6548		0.00030814
211		0.1913		0.3801		0.0000		0.6722		0.00030719
212		0.1842		0.3763		0.0000		0.6696		0.00030624
213		0.1977		0.3787		0.0000		0.6679		0.00030528
214		0.1924		0.3562		0.0000		0.6338		0.00030433
215		0.1913		0.3694		0.0000		0.6739		0.00030338
216		0.1857		0.3668		0.0000		0.6701		0.00030243
217		0.1932		0.3821		0.0000		0.6641		0.00030148
218		0.1834		0.3743		0.0000		0.6779		0.00030053
219		0.1897		0.3837		0.0000		0.6761		0.00029957
220		0.1904		0.3655		0.0000		0.6804		0.00029862
221		0.1970		0.3867		0.0000		0.6726		0.00029767
222		0.1887		0.3799		0.0000		0.6803		0.00029671
223		0.1877		0.3558		0.0000		0.6799		0.00029576
224		0.1935		0.3436		0.0000		0.6678		0.00029481
225		0.1948		0.3701		0.0000		0.6874		0.00029385
226		0.1880		0.3775		0.0000		0.6835		0.00029290
227		0.1841		0.3354		0.0000		0.6929		0.00029194
228		0.1805		0.3881		0.0000		0.6669		0.00029099
229		0.1763		0.3682		0.0000		0.6832		0.00029003
230		0.1773		0.3580		0.0000		0.6815		0.00028907
231		0.2127		0.3833		0.0000		0.6638		0.00028812
232		0.1917		0.3890		0.0000		0.6754		0.00028716
233		0.1859		0.3703		0.0000		0.6763		0.00028620
234		0.1822		0.3917		0.0000		0.6836		0.00028525
235		0.1823		0.3675		0.0000		0.6787		0.00028429
236		0.1821		0.3618		0.0000		0.6867		0.00028333
237		0.1820		0.3852		0.0000		0.6596		0.00028237
238		0.1915		0.3687		0.0000		0.6865		0.00028141
239		0.1855		0.4050		0.0000		0.6620		0.00028045
240		0.1819		0.3896		0.0000		0.6777		0.00027949
241		0.1858		0.3678		0.0000		0.6781		0.00027853
242		0.1844		0.3770		0.0000		0.6777		0.00027757
243		0.1907		0.3709		0.0000		0.6745		0.00027661
244		0.1797		0.3946		0.0000		0.6750		0.00027565
245		0.1789		0.3824		0.0000		0.6807		0.00027469
246		0.1885		0.3737		0.0000		0.6857		0.00027372
247		0.1841		0.3762		0.0000		0.6810		0.00027276
248		0.1792		0.3783		0.0000		0.6874		0.00027180
249		0.1805		0.3987		0.0000		0.6767		0.00027084
250		0.1822		0.3583		0.0000		0.6700		0.00026987
251		0.1932		0.3719		0.0000		0.6643		0.00026891
252		0.2032		0.3802		0.0000		0.6687		0.00026794
253		0.1862		0.3593		0.0000		0.6647		0.00026698
254		0.1860		0.3358		0.0000		0.6691		0.00026601
255		0.1851		0.3620		0.0000		0.6763		0.00026505
256		0.1777		0.3949		0.0000		0.6865		0.00026408
257		0.1781		0.3712		0.0000		0.6702		0.00026312
258		0.1809		0.3771		0.0000		0.6832		0.00026215
259		0.1753		0.3994		0.0000		0.6760		0.00026118
260		0.1756		0.3656		0.0000		0.6883		0.00026021
261		0.1772		0.3569		0.0000		0.6774		0.00025925
262		0.1777		0.3569		0.0000		0.6716		0.00025828
263		0.1759		0.3875		0.0000		0.6820		0.00025731
264		0.1804		0.3882		0.0000		0.6577		0.00025634
265		0.1792		0.3762		0.0000		0.6741		0.00025537
266		0.1768		0.3589		0.0000		0.6785		0.00025440
267		0.1782		0.3903		0.0000		0.6796		0.00025343
268		0.1752		0.3911		0.0000		0.6907		0.00025246
269		0.1732		0.4015		0.0000		0.6728		0.00025149
270		0.1736		0.3780		0.0000		0.6755		0.00025052
271		0.1765		0.3926		0.0000		0.6857		0.00024954
272		0.1804		0.3472		0.0000		0.6876		0.00024857
273		0.1946		0.3460		0.0000		0.6786		0.00024760
274		0.1833		0.3714		0.0000		0.6740		0.00024663
275		0.1761		0.3653		0.0000		0.6802		0.00024565
276		0.1760		0.3576		0.0000		0.6798		0.00024468
277		0.1810		0.4023		0.0000		0.6716		0.00024370
278		0.1916		0.3745		0.0000		0.6708		0.00024273
279		0.1828		0.3770		0.0000		0.6749		0.00024175
280		0.1725		0.3762		0.0000		0.6889		0.00024078
281		0.1729		0.3722		0.0000		0.6856		0.00023980
282		0.1672		0.3748		0.0000		0.6855		0.00023882
283		0.1663		0.3788		0.0000		0.6842		0.00023785
284		0.1671		0.3781		0.0000		0.6844		0.00023687
285		0.1718		0.3969		0.0000		0.6806		0.00023589
286		0.1790		0.3904		0.0000		0.6770		0.00023491
287		0.1670		0.3836		0.0000		0.6947		0.00023393
288		0.1714		0.3733		0.0000		0.6853		0.00023295
289		0.1674		0.3816		0.0000		0.6859		0.00023197
290		0.1706		0.3857		0.0000		0.6792		0.00023099
291		0.1742		0.3667		0.0000		0.6858		0.00023001
292		0.1690		0.3521		0.0000		0.6904		0.00022903
293		0.1648		0.3963		0.0000		0.6750		0.00022805
294		0.1650		0.3565		0.0000		0.6868		0.00022707
295		0.1654		0.3901		0.0000		0.6884		0.00022608
296		0.1676		0.3453		0.0000		0.6971		0.00022510
297		0.1657		0.3870		0.0000		0.6785		0.00022412
298		0.1627		0.3791		0.0000		0.6918		0.00022313
299		0.1746		0.3809		0.0000		0.6750		0.00022215
300		0.1712		0.3750		0.0000		0.6900		0.00022116
301		0.1780		0.3563		0.0000		0.6678		0.00022018
302		0.1770		0.3803		0.0000		0.6757		0.00021919
303		0.1693		0.3781		0.0000		0.6954		0.00021821
304		0.1660		0.3727		0.0000		0.6840		0.00021722
305		0.1682		0.3962		0.0000		0.6774		0.00021623
306		0.1677		0.3592		0.0000		0.6897		0.00021524
307		0.1646		0.3840		0.0000		0.6968		0.00021425
308		0.1635		0.3757		0.0000		0.6905		0.00021326
309		0.1694		0.3639		0.0000		0.6854		0.00021227
310		0.1669		0.3990		0.0000		0.6880		0.00021128
311		0.1682		0.3922		0.0000		0.6810		0.00021029
312		0.1698		0.3989		0.0000		0.6799		0.00020930
313		0.1712		0.3781		0.0000		0.6799		0.00020831
314		0.1674		0.3689		0.0000		0.6797		0.00020732
315		0.1697		0.3726		0.0000		0.6698		0.00020633
316		0.1760		0.3801		0.0000		0.6818		0.00020533
317		0.1665		0.3590		0.0000		0.6923		0.00020434
318		0.1680		0.3617		0.0000		0.6747		0.00020334
319		0.1764		0.4144		0.0000		0.6711		0.00020235
320		0.1644		0.3743		0.0000		0.6974		0.00020135
321		0.1620		0.3988		0.0000		0.6774		0.00020036
322		0.1629		0.3782		0.0000		0.6846		0.00019936
323		0.1606		0.3952		0.0000		0.6856		0.00019836
324		0.1615		0.4115		0.0000		0.6854		0.00019737
325		0.1602		0.3840		0.0000		0.6729		0.00019637
326		0.1595		0.3876		0.0000		0.6868		0.00019537
327		0.1623		0.3633		0.0000		0.6884		0.00019437
328		0.1670		0.3635		0.0000		0.6847		0.00019337
329		0.1678		0.3844		0.0000		0.6903		0.00019237
330		0.1610		0.3956		0.0000		0.6869		0.00019137
331		0.1571		0.3745		0.0000		0.6858		0.00019037
332		0.1633		0.3909		0.0000		0.6898		0.00018937
333		0.1642		0.3961		0.0000		0.6867		0.00018836
334		0.1627		0.3675		0.0000		0.6788		0.00018736
335		0.1616		0.3817		0.0000		0.6853		0.00018636
336		0.1570		0.3779		0.0000		0.6898		0.00018535
337		0.1577		0.3789		0.0000		0.6833		0.00018435
338		0.1592		0.3774		0.0000		0.6890		0.00018334
339		0.1583		0.3793		0.0000		0.6946		0.00018233
340		0.1637		0.3694		0.0000		0.6963		0.00018133
341		0.1569		0.3834		0.0000		0.6813		0.00018032
342		0.1586		0.3863		0.0000		0.6896		0.00017931
343		0.1643		0.4106		0.0000		0.6684		0.00017830
344		0.1662		0.3995		0.0000		0.6810		0.00017729
345		0.1573		0.3711		0.0000		0.6914		0.00017628
346		0.1568		0.4038		0.0000		0.6958		0.00017527
347		0.1581		0.3666		0.0000		0.6901		0.00017426
348		0.1517		0.3839		0.0000		0.6970		0.00017325
349		0.1556		0.3890		0.0000		0.6926		0.00017223
350		0.1547		0.4093		0.0000		0.6904		0.00017122
351		0.1579		0.3903		0.0000		0.6920		0.00017021
352		0.1544		0.4233		0.0000		0.6897		0.00016919
353		0.1507		0.3873		0.0000		0.6906		0.00016818
354		0.1530		0.3958		0.0000		0.6824		0.00016716
355		0.1559		0.4083		0.0000		0.6880		0.00016614
356		0.1571		0.4041		0.0000		0.6794		0.00016513
357		0.1551		0.3937		0.0000		0.6994		0.00016411
358		0.1525		0.3979		0.0000		0.6909		0.00016309
359		0.1635		0.3720		0.0000		0.6832		0.00016207
360		0.1714		0.3870		0.0000		0.6814		0.00016105
361		0.1619		0.3713		0.0000		0.6956		0.00016003
362		0.1543		0.4154		0.0000		0.6797		0.00015901
363		0.1509		0.3690		0.0000		0.6888		0.00015798
364		0.1489		0.3669		0.0000		0.6989		0.00015696
365		0.1493		0.4023		0.0000		0.6847		0.00015594
366		0.1521		0.4033		0.0000		0.6882		0.00015491
367		0.1488		0.3868		0.0000		0.6888		0.00015389
368		0.1516		0.3935		0.0000		0.6971		0.00015286
369		0.1502		0.3733		0.0000		0.6913		0.00015183
370		0.1525		0.4050		0.0000		0.6904		0.00015080
371		0.1478		0.3805		0.0000		0.6969		0.00014978
372		0.1500		0.3938		0.0000		0.6854		0.00014875
373		0.1519		0.4189		0.0000		0.6680		0.00014772
374		0.1515		0.4047		0.0000		0.6907		0.00014669
375		0.1505		0.3894		0.0000		0.6924		0.00014565
376		0.1466		0.4143		0.0000		0.6931		0.00014462
377		0.1507		0.3695		0.0000		0.6953		0.00014359
378		0.1501		0.3908		0.0000		0.6940		0.00014255
379		0.1508		0.3864		0.0000		0.6940		0.00014152
380		0.1486		0.4050		0.0000		0.6897		0.00014048
381		0.1491		0.4174		0.0000		0.6926		0.00013945
382		0.1511		0.3964		0.0000		0.6760		0.00013841
383		0.1549		0.3936		0.0000		0.6880		0.00013737
384		0.1491		0.3721		0.0000		0.6835		0.00013633
385		0.1474		0.3823		0.0000		0.6948		0.00013529
386		0.1473		0.4083		0.0000		0.6965		0.00013425
387		0.1478		0.4199		0.0000		0.6894		0.00013321
388		0.1461		0.3842		0.0000		0.6923		0.00013216
389		0.1446		0.3995		0.0000		0.6955		0.00013112
390		0.1458		0.4415		0.0000		0.6806		0.00013007
391		0.1450		0.4092		0.0000		0.6895		0.00012903
